Time,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/rf_ext/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/ibuf/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/csr/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/div/
670181,2030000.0,183800.0,292500.0,45600.0,3100.0
670183,970000.0,138500.0,43100.0,312700.0,-100.0
670185,1430000.0,238600.0,265700.0,296500.0,-300.0
670187,1040000.0,236900.0,163200.0,30500.0,-100.0
670189,1580000.0,264200.0,220300.0,256200.0,3100.0
670191,1090000.0,143900.0,93100.0,44100.0,-700.0
670193,1530000.0,306700.0,277500.0,320900.0,0.0
670195,2030000.0,200600.0,300100.0,111100.0,-100.0
670197,2000000.0,173800.0,272500.0,49000.0,3200.0
670199,980000.0,132000.0,44700.0,301100.0,-100.0
670201,1390000.0,235200.0,275700.0,273200.0,-300.0
670203,1050000.0,243600.0,164800.0,28800.0,-100.0
670207,1100000.0,144900.0,89800.0,47300.0,-600.0
670209,1550000.0,310000.0,282300.0,345500.0,0.0
670211,2080000.0,205300.0,293600.0,147600.0,0.0
670213,1960000.0,174300.0,271800.0,43700.0,3200.0
670215,940000.0,133100.0,47200.0,291200.0,-100.0
670217,1350000.0,242800.0,268100.0,286400.0,-200.0
670219,1060000.0,246700.0,156400.0,30400.0,-100.0
670221,1510000.0,264600.0,222300.0,255600.0,2700.0
670223,1090000.0,144600.0,92400.0,43000.0,-600.0
670225,1530000.0,305300.0,279800.0,328400.0,0.0
670227,1990000.0,203000.0,293500.0,112600.0,-100.0
670231,930000.0,131900.0,47100.0,293600.0,-100.0
670233,1340000.0,241300.0,268300.0,280500.0,-200.0
670235,1040000.0,255300.0,158300.0,29700.0,-100.0
670239,1110000.0,144100.0,92600.0,44100.0,-700.0
670241,1560000.0,313600.0,278800.0,342200.0,0.0
670243,2120000.0,197600.0,292900.0,136200.0,0.0
670245,1940000.0,176100.0,272900.0,43900.0,3100.0
670247,970000.0,136100.0,46200.0,306200.0,-100.0
670249,1410000.0,237900.0,271000.0,298700.0,-300.0
670251,1050000.0,249700.0,159500.0,30300.0,-100.0
670253,1590000.0,269100.0,221900.0,258100.0,3000.0
670255,1090000.0,147700.0,91400.0,44700.0,-700.0
670257,1500000.0,290800.0,280600.0,326100.0,0.0
670259,2020000.0,200200.0,293600.0,109800.0,-100.0
670263,940000.0,135700.0,48100.0,295200.0,-100.0
670265,1430000.0,238600.0,272300.0,279400.0,-400.0
670267,1060000.0,248800.0,163200.0,26400.0,-100.0
670271,1140000.0,148000.0,95200.0,45200.0,-700.0
670273,1560000.0,302900.0,287700.0,343400.0,0.0
670275,2070000.0,199200.0,299700.0,121800.0,-100.0
670277,2000000.0,180400.0,268400.0,43800.0,3200.0
670279,970000.0,137200.0,51400.0,295100.0,-100.0
670281,1430000.0,234400.0,281000.0,295500.0,-300.0
670283,1040000.0,240500.0,167600.0,28500.0,-100.0
670287,1120000.0,146800.0,93500.0,40600.0,-600.0
670289,1560000.0,303000.0,282000.0,339100.0,0.0
670291,2070000.0,198200.0,295200.0,114200.0,-100.0
670295,990000.0,135600.0,53400.0,297100.0,-100.0
670297,1420000.0,235500.0,274500.0,291000.0,-300.0
670299,1090000.0,233000.0,163600.0,27900.0,-100.0
670303,1130000.0,145300.0,93800.0,43400.0,-700.0
670305,1590000.0,299400.0,280600.0,355300.0,0.0
670307,2170000.0,201200.0,292300.0,156000.0,100.0
